kind,id,doc,file,occurrences,first_line,sample_lines
Dnum,D282,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/研究方案-专家架构重定义与权威口径审计-20260905.md",1,45,"45"
E,E-13,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第七章-专家可组合性深度补充研究-20260906.md",1,54,"54"
E,E-23,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第七章-专家可组合性深度补充研究-20260906.md",1,54,"54"
E,E-34,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第七章-专家可组合性深度补充研究-20260906.md",1,54,"54"
E,E-36,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第七章-专家可组合性深度补充研究-20260906.md",1,54,"54"
E,E-37,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第七章-专家可组合性深度补充研究-20260906.md",1,54,"54"
computeKebab,compute-cash-runway-months,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第七章-专家可组合性深度补充研究-20260906.md",1,55,"55"
computeKebab,compute-gross-margin,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第七章-专家可组合性深度补充研究-20260906.md",1,55,"55"
computeKebab,compute-receivable-overdue-rate,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第七章-专家可组合性深度补充研究-20260906.md",1,55,"55"
computeKebab,compute-cost-per-head,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第七章-专家可组合性深度补充研究-20260906.md",1,55,"55"
E,E-30,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第三章-第一性原理重推专家架构-20260905.md",2,40,"40,101"
computeKebab,compute-break-even,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第三章-第一性原理重推专家架构-20260905.md",1,74,"74"
computeKebab,compute-customer-concentration,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第三章-第一性原理重推专家架构-20260905.md",1,101,"101"
Dnum,D282,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第三章-第一性原理重推专家架构-20260905.md",1,69,"69"
computeKebab,compute-break-even,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第二章-证据全景与三态审计-20260905.md",3,77,"77,84,110"
computeKebab,compute-dol,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第二章-证据全景与三态审计-20260905.md",2,77,"77,84"
computeKebab,compute-capital-allocation,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第二章-证据全景与三态审计-20260905.md",1,77,"77"
computeKebab,compute-npv,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第二章-证据全景与三态审计-20260905.md",2,77,"77,84"
computeKebab,compute-irr,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第二章-证据全景与三态审计-20260905.md",2,77,"77,84"
computeKebab,compute-capital-acquisition,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第二章-证据全景与三态审计-20260905.md",1,83,"83"
computeKebab,compute-capital-source-mix,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第二章-证据全景与三态审计-20260905.md",1,83,"83"
computeKebab,compute-gross-margin,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第二章-证据全景与三态审计-20260905.md",1,83,"83"
computeKebab,compute-cash-runway-months,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第二章-证据全景与三态审计-20260905.md",1,83,"83"
