顺序,访谈对象,时长,环节,问题,意图,映射哨兵,判断信号,暗线观察
1,老板,40min,战略瓶颈,过去10年最对的一个决定？,找到真正的增长引擎,I3,讲赛道→运气。讲体系→能力,
1,老板,,,你现在最怕什么？,诊断入口,,先提的才是真焦虑,
1,老板,,,全国第一，第二名差距多大？,生态位挤压,I2/E3,差距大→竞争非核心问题,
1,老板,,,昆仑定位30万学到了什么？为什么没用？,他对咨询的真实期望,,不懂我行业→他要的是懂行的诊断,
1,老板,,,50万做管理机制，团队最大问题是什么？,他自己的诊断vs真实诊断,S1/O3,执行力差→O3。沟通问题→O7,
1,老板,,商业模式,免费转付费转化率多少？,漏斗效率,I10,<5%→私域转化是瓶颈,
1,老板,,,20万用户怎么再触达？,私域现状,I9,无触达→用户资产沉没,
1,老板,,,客户生二胎还找你吗？比例多少？,自然复购率,I10,>10%→忠诚度超预期,
1,老板,,,客户问过能不能做别的吗？,JTBD需求缺口,E4/I7,问了没做→O1探索不足,
1,老板,,,获客降半vs客单翻倍，哪个更难？,增长杠杆判断,I10/F3,选获客→依赖渠道。选客单价→产品力自信,
1,老板,,,十年后这个生意还在吗？,时间穿透力,I9,说不出凭什么→无护城河意识,
1,老板,,系统数据,从月子中心到交付用什么系统管？,信息化基线,T1/T3,微信群+Excel→极低,
1,老板,,,20万用户信息统一管理？能查购买记录？,数据资产质量,T3,没有→用户资产沉没,
1,老板,,,取模人员今天去哪了你怎么知道？,一线数据回流,T2/O7,自己汇报→信息链长+失真,
1,老板,,,你用过AI工具吗？团队呢？,AI成熟度基线,T7,没用过但好奇→可引导,
2,销售,20min,渠道,400+月子中心怎么签的？,渠道壁垒类型,I3,靠关系→关键人风险O4,对接人级别
2,销售,,,月子中心为什么送免费品？得到什么？,渠道利益链,I2,弱绑定→渠道不稳,
2,销售,,,月子中心终止合作过吗？为什么？,渠道流失,E3,入住率下降→外部逆风E1,
2,销售,,取模人员,取模人员员工还是外包？,核心能力归属,I12,外包→触达不在自己手里,对公司认知
2,销售,,,培训多久上手？离职率高吗？,流程可复制/关键人依赖,I3/O4,>1月→隐性知识多,
2,销售,,,免费转付费，销售做什么？,转化机制,I10/O1,等客户找→20万用户沉睡,
3,运营,20min,私域数据,私域有哪些？微信群/公众号/企微？活跃？,私域资产清单,,只有公众号打开<5%→不存在,
3,运营,,,20万用户多少能主动触达？,数据资产质量,T3,<10%→极弱,
3,运营,,,订单用什么系统流转？,信息化,T1/T3,微信群+Excel→极低,
3,运营,,自媒体,自媒体哪个平台？内容方向？,内容矩阵,E4,育儿→用户长。产品→转化导向,
3,运营,,,老客户转介绍率多少？,网络效应,I3,高→可做第二引擎,
3,运营,,,电商只卖手足模型还是有其他？,品类扩展,I1,只有模型→品类单一,
3,运营,,,用户宝宝照片/成长记录有吗？愿意分享吗？,JTBD深层需求,E4/I7,有→可做成长时间线,
4,客服,15min,客诉,客诉最多什么？这两年变过吗？,系统性质量信号,O8,重复→不学习。新增→不稳定,
4,客服,,,客户说产品好但XX环节差？,流程瓶颈,T5/O7,取模→培训。物流→伙伴。交付→工厂,
4,客服,,,收到后惊喜还是还行？,品牌溢价,I4,惊喜→溢价存在,
4,客服,,,客户问过能不能做别的？满月照/胎毛笔？,需求信号,E4/I1,问了没做→O1不足,
4,客服,,,销售承诺但交付做不到的多吗？,战略组织错配,S1,多→前后端脱节,敢不敢说反馈了没人处理→O8
5,生产,15min(电话),品控产能,收到模型到发货几天？最慢在哪？,产能瓶颈,T5/O6,>7天→瓶颈在生产,
5,生产,,,运输损坏比例？,品控,O8,>5%→巨大隐性成本,
5,生产,,,28人，订单翻倍能应付吗？,规模经济/产能弹性,I3,不能→手艺依赖太强,
5,生产,,信息化,用什么管订单？纸质还是电脑？,信息化基线,T1/T3,纸质+微信群→极低,
5,生产,,,广东传的信息和收到的一样吗？,信息失真,O7,经常→O7高,
5,生产,,,为什么客户选你们不选更大工厂？,流程优势,I3,手艺好→流程优势。没别人→独占赛道,
6,财务,20min,单位经济,广东和南宁各自毛利？,两个实体效率差,F3,广东低→获客成本高。南宁低→生产成本,
6,财务,,,免费转付费总成本？免费品谁承担？,单位经济模型,I10,免费品成本高→每单获客在亏,
6,财务,,,取模人员工资占订单多少？固定还是提成？,成本结构/激励对齐,F3/O3,固定→质量无关收入O3,
6,财务,,现金流,应收—月子中心有账期吗？,现金流质量,F1/F4,有账期→被渠道挤压,
6,财务,,,过去三年营收在涨吗？增速？,增速,E5,还在涨→份额在扩大,
6,财务,,,营销费用花在哪？投放/返佣/电商？,获客成本结构,I10,返佣高→渠道重。投放高→可优化,
6,财务,,,用什么财务软件？数据能导出吗？,数据可达性,T2,能导出→可入本体层,
7,老板,15min,回响,今天听下来，最意外的是什么？,让他发现信息断层,,,说XX和YY差很多→S1实证
7,老板,,,如果Synova帮你做一件事，最希望什么？,确认第一优先级,,,他说的就是下月OKR
7,老板,,,出生率继续降，第二曲线在哪？,让他自己想答案,,,看他有没有连起今天的碎片
