id,声明的完成态/计数,声明位置,声明值,物理实测,严重度,结论
"C-01","AD03 哨兵规范 声称「50个哨兵」","AD03 第一章 L255(HTML渲染)","45","45 个真实哨兵目录（excl _extinct/shared）","P1","不一致"
"C-02","AD03 第一章 JTBD 清单实际列名 38 个","AD03 第一章 JTBD 表","38","45","P1","不一致（7 个代码有的哨兵文档未列）"
"C-03","AD03 第二章 声称「50个compute为P0批次」","AD03 第二章 L964(渲染)","190","190 个非测试 compute .ts (extensions/sentinels/**/computes/)","P1","不一致"
"C-04","AD04 第一章 声称「76个compute文件」","AD04 第一章（渲染 L~473）","190","同上","P2","不一致"
"C-05","AD12 第五章 声称「现有124个compute函数 extensions/sentinels/*/computes/*.ts」","AD12 第五章 L9/L108","190","同上（路径写法已过期：真实为 **/computes/ 两级）","P2","不一致"
"C-06","AD01 研究方案v3 验收标准「≥30条边 hard」","AD01 研究方案v3 §十.3","10","第四章 42 条边标题 hardness 统计 hard=10","P0","不一致（差 20 条）"
"C-07","AD01 第四章 声称 42 条边含「配置边：E-13~E-18」","AD01 第四章 §4.3","6","ch4 配置组实为 6 条，但 ch2 称配置边 9 条（E-10~E-18）","P0","不一致"
"C-08","AD14 第五章 声称「平面对齐表（18个核心术语）」","AD14 第五章 L26","18","表内实列 18 行","—","一致（正面）"
"C-09","AD14 第五章 声称「跨层级映射表（12个核心术语）」","AD14 第五章 L51","12","表内实列 12 行","—","一致（正面）"
"C-10","AD15 第五章 版本历史「18个行业模板」 vs 正文「15-20个行业模板」","AD15 第五章 L20/L359 + 第一章 L1032","18 vs 15-20","cycles/industry/ 实有 2 个行业循环模板","P2","文档内部不一致 + 与代码不一致"
"C-11","AD17 声称「当前48条铁律」","AD17-Synova自诊断系统-v1.0 L59","22","AGENTS.md 去重后铁律编号 22 个（0,1,4,5,7,8,9,11,12,24,31-39,47,48,49）","P2","不一致 / 声称无据"
"C-12","AD06 第七章 声称「AGENTS.md 中 38 条铁律」","AD06 第七章-Pinpoint L200","22","同上","P2","不一致 / 声称无据"
"C-13","AD01 第一章 §1.6「38条断裂点边 + 4条横向感知边 = 42条」","AD01 第一章 L626","38+4","同一文档第二章 横切边仅 E-01~E-04 一条口径，且第二章 E-01~E-04 group=获取边","P0","文内不一致"
"C-14","AD01 第三章 标题「15存储层节点池」+ 概览「存量池9+活动池6」=15，同表又列「事件池第16个」","AD01 第三章 L27-40/L46-704","15 vs 16","池标题实有 16 个","P0","文内不一致"
"C-15","AD14 第五章 术语「存储层节点池 = GraphStore中的15个物理存储单元（CAPITAL_POOL/HUMAN_CAPITAL_POOL/...）」","AD14 第五章 L34","HUMAN_CAPITAL_POOL","AD01 第三章 L92 池2 名为 TALENT_POOL","P1","跨文档命名冲突（一码两义）"
"C-16","D1 附录 C-13「第二真 LLM 入口 diagnosis-upload-v2 直接 new ExpertDispatcher @ src/routes/diagnosis-upload-v2.ts:311」","D1 附录 L23","文件 0 字节","src/routes/diagnosis-upload-v2.ts 在 02cbafae 为 0 字节（b54a0fb6 已删 981 行）","P1","状态声明失效（无失效日期机制）"
"C-17","D1 附录 C-15「旧专家名 strategy 残留 @ src/routes/diagnosis-upload-v2.ts:312」","D1 附录 L25","文件 0 字节","同上","P1","状态声明失效"
"C-18","D1 附录 C-02「expert/capital-cycle/manifest.json」","D1 附录 L12 + 第二章 L74","路径不存在","D650 已 git mv 到 expert/_deprecated/","P1","状态声明失效"
"C-19","D1 附录 C-08「src/cycles/cash-cycle.cycle.json」","D1 附录 L18 + 第二章 L14","路径不存在","真实位置 cycles/builtin/cash-cycle.cycle.json","P2","路径错误"
"C-20","D2 附录 G-01「决策驱动来源 DecisionRecord ❌ 缺失，source 仅有 diagnosisId」","D2 附录 L25","已实现","src/growth/goal-types.ts:103 decisionRecordId?: string（D701 已落地）","P1","状态声明过期"
"C-21","D2 附录 G-05「外部驱动来源 source 无 externalEventId ❌」","D2 附录 L29","仍缺失","goal-types.ts 无 externalEventId；goal-store.ts:99 仅注释","—","一致（正面）"
"C-22","AD13 标注「口径已更新，现以《增长导航目标管理闭环-20260906》为准」","AD13 研究方案-v2 L5","已标注","documents/annotations 实证","—","一致（正面）"
"C-23","跨文档一致性审计 §六 标注「§六作废，§零升格」","该报告 L11","已标注","git show dff18196 diff 实证","—","一致（正面）"
"C-24","AD15 无任何覆盖标注，却被 AD15 第六章 source='auto-overflow-triggered' 与 D2 §2.2 三来源冲突","AD15 第六章 L279","无覆盖标注","grep '口径已更新' 仅命中 2 文件（AD13 + 审计报告），不含 AD15","P1","覆盖关系未登记"
