实体,声明值,声明位置,清单实数,数法/证据,结论
"因果边 E-NN","42","AD01 全文档 / AD14 第二章 / AD16 / AD02","42","AD01 第二章 ### E-01..E-42 标题 42 条；第四章 42 条","一致"
"因果边（第二章 vs 第四章语义）","42","AD01 第二章 vs 第四章","4 处一码两义","E-08/E-10/E-11/E-12 两套语义（ch2=RESOURCE_ACQUISITION/DECISION_ALLOCATION/TRUST_CONSTRUCTION/POWER_DISTRIBUTION；ch4=TALENT_FILTER/EQUIPMENT_DEPLOYMENT/REPUTATION_ATTRACTION/EFFICIENCY_FINANCING）","不一致"
"硬度 hard","≥30（验收标准）","AD01 研究方案v3 §十.3","10","第四章 42 条边标题 hard 计数","不一致"
"硬度分布 ch2 vs ch4","—","AD01 第二章 vs 第四章","ch2: hard10/soft27/heuristic5；ch4: hard10/soft28/heuristic4","逐条统计","不一致（soft/heuristic 差 1）"
"配置边","E-10~E-23（研究方案v3 §四）","AD01 研究方案v3 L109","ch2 配置边 9 条（E-10..E-18）；ch4 配置组 6 条（E-13..E-18）","逐条统计","不一致"
"获取边","E-05~E-09（研究方案v3 §四）","AD01 研究方案v3 L109","ch4 获取相关 8 条（E-05..E-12）；ch2 获取边 9 条（含 E-01..E-04 横切）","逐条统计","不一致"
"15 节点池（第三章）","15（存量9+活动6）","AD01 第三章 L27-40","标题实有 16 个池（含事件池）","第三章 ### 池N 标题计数 16","不一致"
"15 节点池（第一章 vs 第三章）","15","AD01 第一章 §1.0.1 L~90","第一章池集 7 个，与第三章交集 6 个","词表比对：第一章 资本/人力/知识/客户信任/品牌/技术/数据；第三章 资本/人才/客户/知识/品牌/技术/信任/权力/数据/配置/执行/定价/创新/学习/治理/事件","不一致"
"15 节点池（第四章 §4.0.2 vs 第三章）","15 / 17 SOGNodeType","AD01 第四章 L19","第四章池集 15 个，与第三章 15 池交集 9 个；且含第三章不存在的『表达层实体池』概念","词表比对","不一致（P0）"
"SOGNodeType 映射","17","AD01 第四章 §4.0.2 标题","实际 NodeType 枚举 29（activity8+outcome8+resource13）","packages/ontology/src/node-types.ts L1-6 自述『29 node type string constants』；extensions/ontology/{activity,outcome,resource}/*.json = 29","不一致"
"边类型 JSON 文件","42 条池-阀因果边","extensions/ontology/edge-consumption-map.json L~3","55 个 edge-types/*.json；edge-types.ts 自述 51 个 EdgeType","ls extensions/ontology/edge-types/ = 55；packages/ontology/src/edge-types.ts L6 自述","不一致（自述与文件数差 4）"
"边 ID 机器可读定义","E-01..E-42（权威口径）","AD01 第二章 / AD15 附录A","代码中零定义","grep 全仓：E-xx 仅出现在 expert/*/manifest.json(6)、tests/fixtures/golden-cases/(11)、_deprecated manifests；无任何 TS/JSON 定义文件","不存在（P0）"
"哨兵","50","AD03 第一章 / AD14 第二章 / AD16 / AD02 研究方案","45 个真实目录（excl _extinct/shared）；AD03 第一章 JTBD 表列 38 个","extensions/sentinels/ 目录计数 + JTBD 表解析","不一致"
"compute","50（AD03 P0批次）/ 60（AD06）/ 61（AD01 第六章）/ 76（AD04）/ 86（AD06 路线图）/124（AD12）/ 45（AD01 第六章 结论）","多文档","190 个非测试 compute .ts；202 含测试","find extensions/sentinels -path '*computes*' -name '*.ts'","全口径不一致"
"Skill","33（AD12 第一章）/ 35 / 38 / 41 / 43","AD12 多章","41 个 builtin skill 目录","find extensions/skills/builtin -maxdepth 1 -type d","不一致（33/35/38/41/43 五值并存）"
"Playbook","21","AD12 第四章 / AD14 第三章","21 个 yaml","find extensions/playbooks -name '*.yaml'","一致（正面）"
"因果链","22","AD01 第五章 §5.1 + 版本历史","22 条 chainId","chainId: cc-* 计数 22","一致（正面）"
"因果链 YAML 落地","22 个 YAML 文件（因果链加载器规格 §5.4.1）","AD01 第五章 §5.4","0 个 cc-*.yaml","git ls-files | grep cc-*-*.yaml = 0；cycles/ 仅 6 个 *.cycle.json","不一致（I4）"
"行业模板","15-20（正文）/ 18（版本历史）","AD15 第一章 L1032 / 第五章 L20 vs L359","2 个行业循环模板（cycles/industry/）","find cycles/industry","不一致"
"专家（registry v3.0）","6（registry 条目数）","expert/expert-registry.yaml","6","grep '^  [a-z0-9_-]+:$' experts 块","一致（正面）"
"专家（文档）","7（AGENTS.md）/ 7（CLAUDE.md）/ 8（knowledge/shared/README.md）/ 8（AD02/AD05/AD10/AD12/AD14 多章）/ 6（AD05 补充研究）","导航层 + 权威文档多章","6","实测 + check-doc-truth.sh 输出","不一致（3 处 check-doc-truth 硬失败）"
"铁律","48（AD17）/ 38（AD06）","AD17 L59 / AD06 第七章 L200","22 个去重编号","grep -oE '铁律\s*[0-9]+' AGENTS.md | sort -nu","不一致"
"门禁组数","13（AD14 第四章 L16）/ 8（CLAUDE.md、LOOP.md）","多文档","13 组 echo（组号 1-10,12,13，无 11）","grep -E '组 [0-9]+/13' scripts/pre-commit-check.sh","不一致 + pre-commit-check.sh 自述 12 vs 13"
"文档真相硬检查","4 项硬检查（C1-C4）+ 1 警告（W1）","DRIFT-LEDGER L11 / check-doc-truth.sh 头注释","实际 7 项（C1×3 文件 + C2×3 文件 + C3 + C4×7 路径）+ W1","check-doc-truth.sh L38-112","不一致（台账口径过期）"
