"ID","不变量","位置(file:line)","冲突两方证据(A / B / C)","严重度","I1-I6违例","建议裁定","修复工单草案","R1-R5根因","机制归属(Anti-bloat)","状态"
"P0-01","I2","AD01 第二章 L257/L339/L375/L408  vs  第一章 L140/158/167/175 / 第四章 L154/182/196/210 / 第六章 L38-42  vs  tests/fixtures/golden-cases/golden-case-06-...json","A: ch2 E-08=RESOURCE_ACQUISITION E-10=DECISION_ALLOCATION E-11=TRUST_CONSTRUCTION E-12=POWER_DISTRIBUTION / B: ch1+ch4+ch6+AD15附录A E-08=TALENT_FILTER E-10=EQUIPMENT_DEPLOYMENT E-11=REPUTATION_ATTRACTION E-12=EFFICIENCY_FINANCING / C: golden-case-06 夹具 E-11=EFFICIENCY_ATTRACTION（rootCauseNodeTypes 明写）","P0","I2","同一 ID 三套语义各自自洽但互斥；ch6 L161 自述『旧E-11/E-12 在新体系重新索引为 E-21/E-14』证明 ch2 是旧编号。三套中必须有一套为号 → 建议 ch1+ch4+ch6（⚠️待创始人确认）","工单：① 先建 §10.1 system-registry.json；② 由生成器比对三套语义并输出差异表；③ 按裁定结果重编号 ch2 全章（989 处 E-NN）+ 修夹具 E-11/E-12；影响面：ch2 + 11 个 golden-case + 6 个 manifest","R1","CT-38（扩域）","待裁定"
"P0-02","I1/I2","docs/synova/research/权威文档01-.../第二章（权威定义章）","A: 代码/专家 manifest/tests fixtures 使用 E-NN ID（expert/*/manifest.json edges 字段 26 个 ID、11 个 golden-case） / B: 全仓无任何机器可读的 E-NN 定义文件（grep -rlE '\E-[0-9]{2}\""' 仅命中 manifest/fixtures/_deprecated）""","P0","I1","需建 system-registry（AD14 §3.2 已规划）或最小可用的 edges.json；在此之前 E-NN 无法机械校验","工单：新建 ID 唯一权威来源（见 §防复发规格 7.1），把 42 条边 ID+名称+分组+硬度+断裂点导入；此后所有门禁从该文件派生","R1","CT-38（扩域）+ 新机制7 权威文档结构校验","待修复"
"P0-03","I6","AD01 第一章 L45-L100（§1.0.1 池定义）vs 第三章 L46-L704","A: 第一章池集 = 资本池/人力池/知识池/客户信任池/品牌池/技术池/数据池（7项） / B: 第三章 15池 = 资本/人才/客户/知识/品牌/技术/信任/权力/数据/配置/执行/定价/创新/学习/治理（+事件池=16）","P0","I6","同文档内顶层本体两套定义；第一章明确说『这是15节点池的直接来源』故必须以第三章为准","工单：第一章 §1.0.1 池清单改为引用第三章（含权力池+6活动池），删除『这是15节点池的直接来源』的误导表述","R1","新机制7 权威文档结构校验","待修复"
"P0-04","I6","AD01 第四章 L19-L35（§4.0.2 表）vs 第三章 L46-L704","A: 第四章『15节点池→17 SOG-Core NodeTypes』表列 15 个池名 = 资本/人才/品牌/数据/信任/权力/知识/技术/**信号**/治理活动/**产品/渠道/风险/合规/商业模型** / B: 第三章 15池 = 资本/人才/客户/知识/品牌/技术/信任/权力/数据/配置/执行/定价/创新/学习/治理","P0","I2,I6","交集仅 9 个；第四章多出『信号池/产品池/渠道池/风险池/合规池/商业模型池』（第三章无），第三章多出『客户池/配置池/执行池/定价池/创新池/学习池』（第四章无）；且第四章把『表达层实体池』与『存储层节点池』混为同一层级","工单：统一池命名空间——存储层池（16）与表达层实体（10）分表，第四章 §4.0.2 改引第三章池 ID，不得引入新池名","R1","新机制7 权威文档结构校验","待修复"
"P0-05","I3","AD01 研究方案-v3 L163-L171（验收标准）+ 第四章条目标题","A: 验收标准『≥30条边hard，每条覆盖率≥80%』 / B: 第四章 42 条边 hard=10（且 E-31=75%、E-33=60% 两条 hard 不满足 ≥80%）","P0","I3","验收标准是这份『唯一本体真理』的自证条款；10 vs 30 差 20 条 → 该说明书对自己的验收标准都未达标","工单：二选一——(a) 下调验收标准为 hard≥10 并逐条记录升级计划；(b) 保留标准并把缺口登记为技术债（含 E-31/E-33 覆盖率不达标本条）","R2","新机制7 权威文档结构校验","待裁定"
"P0-06","I6","AD15 第六章 L279  vs  增长导航目标管理闭环-20260906 第二章 L18-L20 + 附录 G-05","A: 权威文档15『Goal source = { diagnosisReportId: auto-overflow-triggered"" }』，且明确『溢出触发的轻量级 Goal 不走 Proposal 三选一』 / B: 2026-09-06 新权威『三个来源（MECE）』= 诊断驱动/决策驱动/外部驱动，无溢出；且『诊断建议→Proposal 三选一→Goal』保留""","P0","I6","正向冲突：新权威未列『溢出』这一来源，AD15 亦未被升级说明列入被覆盖清单（权威文档里无答案）→ ⚠️ 待裁定","工单：先由创始人裁定 AD15 归属；若被覆盖 → 在 AD15 头部加覆盖标注 + source 枚举收敛为三来源；若未覆盖 → 新权威第二章补齐『溢出驱动』第四来源","R4","I7（提案）覆盖图一致","待裁定"
"P0-07","I1/I2","docs/authority/AUTHORITY-UPGRADE-NOTICE-20260906.md L55/L67","A: 升级说明称『跨文档一致性审计-20260727/…专家体系全面审计最终报告-修正版-20260727.md（即权威文档16""）』 / B: 权威文档16 = docs/synova/research/权威文档16-权限与知识治理体系-20260727/（10 文件）""","P0","I2","同一编号『权威文档16』被两份不同文档占用；D1 第二章 §2.6 已判定该报告『属辅助研究聚类，不在权威文档01-18序列』，但升级说明仍以『权威文档16』命名它，且未采纳该裁定","工单：升级说明 L55/L67 剥除『即""权威文档16""』标签，改称《专家体系全面审计最终报告（2026-07-27）》；并在 DOCS-REGISTRY 登记该报告为独立 ID（不得占用 16）","R1","CT-38（扩域）","待修复"
"P0-08","I3","AD01 第五章 §5.1 + L1337  vs  仓库落地","A: 『核心因果链清单（22条）』22 个 chainId（cc-capital-01…cc-rule-01）+ §5.4 规定 causal-chains/{chainId}.yaml 目录结构 / B: git ls-files 零个 cc-*.yaml；./cycles/ 仅 6 个 *.cycle.json（4 builtin + 2 industry）","P0","I4","权威文档01 自称『唯一本体真理』，其因果链层在代码中零落地且路径规格（causal-chains/）与真实路径（cycles/）不一致","工单：先裁定是『未落地』还是『改名落地』——若已改名落地，改 AD01 §5.4 目录结构说明并补映射表；若未落地，登记为 P0 缺口","R3","新机制7 权威文档结构校验","待裁定"
"P1-01","I5","docs/authority/GOVERNANCE.md L12-L13  vs  scripts/pre-commit-check.sh","A: GOVERNANCE『机制1 登记门禁 ✅已实施v1+已接线pre-commit（2026-08-20）』『机制2 真相验证 ✅已实施v1+已接线pre-commit（2026-08-20）』 / B: grep -n 'check-doc-truth\|doc-registry-gate' scripts/pre-commit-check.sh → 零命中（exit 1）","P1","I5","治理文档把『未接线』记为『已接线』；check-doc-truth.sh 头注释 L11-L18 的 4 项契约与文档一致，但无任何执行体调用它","工单：GOVERNANCE L12-L13 状态改回『已实施未接线』并登记缺口（或真接线后恢复）；此为 DSH 架构线域","R4","M3（扩域：防线需接线）","待修复"
"P1-02","I5","tests/doc-system/doc-registry-gate.test.sh L64-L65","A: 作者写在测试里的接线要求『W1 接线: registry-gate 在 pre-commit』『W2 接线: check-doc-truth 在 pre-commit』（期望 exit 0） / B: 实测 W1/W2 均 ❌（期望 0 实际 1）；总结果 7 通过 / 2 失败，exit 1","P1","I5","测试已写接线断言且当前红灯 → 『接线』曾经是要求，现被违反；该测试未进任何 runner（CI control-tower-tests 只跑 tests/control-tower/ 33 个），故红灯无人见","工单：把 tests/doc-system/*.test.sh 纳入 CI；W1/W2 要么真接线要么显式降级（不得保留红灯断言）","R4","M3（扩域：测试需 runner）","待修复"
