角色,环节,#,问题,追问链,映射哨兵,验证假设

老板,战略定位,1,这个生意做了10年——你觉得自己最大的护城河是什么？,追问A：如果你说是产品——竞品能不能复制？要多久？ 追问B：如果你说是渠道——月子中心为什么选你不选别人？,"I3(护城河), I4(品牌)",H1: 增长引擎性质
老板,,2,全国第一——第二名和你的差距多大？在什么维度咬得最紧？,追问A：价格？渠道？产品品质？ 追问B：第二名是单城市还是多城市？,"I2(生态位挤压), E3(竞争)",H1: 生态位变化
老板,,3,如果出生率再降20%，月子中心再关20%，你预计营收降多少？,追问A：你有算过吗？追问B：有应对方案吗？,"E5(环境红利), E1(天花板)",H1: 逆风量化
老板,,4,昆仑定位30万——给了你什么？最不满意什么？,追问A：方法论不对？还是落地不了？追问B：你现在要方法还是要解决方案？,,H7: 真实需求
老板,,5,今年50万做管理机制——如果只解决一个问题，是什么？,追问A：执行力？沟通？部门协作？人才？追问B：这问题多久了？,"S1(战略-能力一致), O3(激励)",H4: 自诊vs诊断
老板,商业模式,6,最近10个成交客户——怎么转化的？还记得吗？,追问A：销售联系？客户自己找？月子中心推？追问B：转化周期多长？中间卡在哪？,"I10(单位经济), O1(探索)",H2: 漏斗效率
老板,,7,20万客户——你对其中多少人可随时联系到？,追问A：微信群？公众号？企微？追问B：上次群发什么时候？效果？,I9(时间穿透力),H2/H5: 私域价值
老板,,8,有客户生二胎又找你们的吗？比例多少？,追问A：大概比例？追问B：设计一个二胎回馈产品——能激活多少？,I10(复购/LTV),H2: 复购空间
老板,,9,除了手足模型，客户问过能不能也做XX吗？,追问A：问得最多是什么？追问B：为什么没做——供应链？精力？不看好？,"E4(需求), E2(窗口), O1",H5: 第二曲线
老板,,10,有500万不受限资金——投在哪？,追问A：获客？研发？新品类？私域？追问B：为什么不是其他？,F3(资本配置),H2/H5: 杠杆判断
老板,运营与组织,11,你每天看什么数据？不看也行——凭感觉判断什么？,追问A：上月新增客户问谁？追问B：这数据你信吗？,"T1(信息化), O7(失真)",H4: 决策信息
老板,,12,月子中心到南宁发货——哪个环节最易出问题？,追问A：取模？物流？工厂？追问B：出问题多久知道？,"O7(失真), O8(修复)",H4: 信息回流
老板,AI,13,你用过ChatGPT或类似的AI工具吗？,追问A：用来做什么？追问B：你觉得AI能帮到你这个行业吗？如果能——最该用在哪？追问C：团队有人用吗？你怎么看他们用？,"T7(Agent成熟度), T5(AI就绪)",H4: AI认知基线
老板,组织,14,两年前的组织架构——现在有变化吗？,追问A：最大变化？为什么？追问B：想变但变不了的？,"O2(变异率), O9(权力)",H4: 演化速度
老板,,15,交给二把手一个月——最不放心什么？,追问A：决策？客户关系？日常运营？追问B：这人突然离职呢？,"O4(知识可调用), O9(权力)",H4: 关键人依赖
销售/渠道,渠道关系,1,400+月子中心——前20家贡献了多少客户？,追问A：占总订单百分之多少？追问B：最大一家占比？,I2(集中度),H1: 集中度风险
销售/渠道,,2,月子中心为什么和你们合作——你听到最多原因？,追问A：给客户增福利？产品有吸引力？有返佣？追问B：停了合作影响多大？,"I3(切换成本), I2(议价)",H1: 利益链
销售/渠道,,3,过去12个月终止合作的月子中心——多少家？,追问A：什么理由？追问B：入住率下降还是被抢走？,"E3(流失), E3(竞争)",H1: 外因内因
销售/渠道,,4,新签一家月子中心——接触到达成多久？,追问A：谁去谈？老板还是你？追问B：最难说服什么？,"I12(自制外购), O4(关键人)",H1: 扩展驱动力
销售/渠道,取模人员,5,全国多少取模人员？一个城市平均几个？,追问A：自有还是外包？追问B：只接你们单还是也接别的？,"I12, O4",H4: 核心触达归属
销售/渠道,,6,培训新取模人员——多久独立出活？,追问A：最难学什么？追问B：离职率高吗？去年走了几个？,"I3(可复制), O4",H3/H4: 复制能力
销售/渠道,,7,你怎么知道取模人员按时去了？取模质量怎么保证？,追问A：出过取了不能用吗？追问B：怎么追责？,"O7(失真), O8(修复), T2(可达)",H4: 数据回流
销售/渠道,转化漏斗,8,免费转付费——转化率多少？,追问A：100个免费多少人买？追问B：不买的后续跟进吗？,I10(漏斗),H3: 顶部效率
销售/渠道,,9,成交客户决定买——关键原因是什么？,追问A：现场推销？看样品？网上搜？追问B：丢了的客户最常说什么？,"E4(决策), O1",H3: 驱动力
销售/渠道,AI,10,你用过什么AI工具吗？ChatGPT、AI修图、AI文案之类的？,追问A：用在哪？有效果吗？追问B：你觉得AI工具能帮你做销售吗——比如自动跟进客户、生成话术？追问C：如果可以，你最希望AI帮你做什么？,"T7(Agent成熟度), T5(AI就绪)",H4: 一线AI接受度
运营,私域现状,1,20万客户——现在用什么方式管理客户信息？,追问A：Excel？CRM？微信？追问B：能查到任意客户全部购买记录吗？,"T3(数据健康), T1(软件)",H5: 数据基础
运营,,2,公众号/企微/微信群——各有多少粉丝/成员？,追问A：公众号打开率？追问B：微信群活跃吗？上次群推效果？,,H5: 触达量化
运营,,3,明天要推新品类给老客户——能触达多少人？,追问A：用什么渠道？追问B：预估转化率？,"I9(穿透力), T3",H5: 变现能力
运营,,4,试过让老客户介绍新客户吗？,追问A：做过什么活动？效果？追问B：没做过——没想到还是没人手？,"O1(探索), I3(网络效应)",H5: 能做vs做不到
运营,内容电商,5,自媒体在哪个平台？小红书/抖音/公众号？发什么内容？,追问A：育儿知识还是产品展示？追问B：有专人做还是兼？,"E4(决策), O1",H5: 内容定位
运营,,6,电商在卖什么？除手足模型外有其他吗？,追问A：有母婴周边吗？追问B：试过卖非自产吗？效果？,"I1(生态位), O1",H2/H5: 品类扩展
运营,,7,客户宝宝照片——你们收集吗？怎么收集？,追问A：取模时拍？客户上传？追问B：想过做成长记录产品吗？,"E4(JTBD), O1",H5: 深层需求
运营,数据流转,8,订单从月子中心到你这里——用什么系统流转？,追问A：微信群？邮件？系统？追问B：哪个环节最常出错？,"T1(软件), T3(孤岛), O7",H4: 全链信息化
